function name,Linear model,Log10 model,Inverse model,Branch model
.TAU_application,0.0,0.0,0.0,0.0
ADD,0.0,2.835083234953018e-14,0.0,0.0
ADI,0.0,2.835083234953018e-14,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0,0.0
COMPUTE_BUFFER_SIZE,0.0,0.0,0.0,0.0
COMPUTE_RHS,0.0,4.242046183642389e-14,0.0,0.0
COPY_FACES,0.0,4.242046183642389e-14,0.0,0.0
ERROR_NORM,0.0,0.0,0.0,0.0
EXACT_RHS,0.0,0.0,0.0,0.0
EXACT_SOLUTION,2.061376340549352e-14,5.211582197372742e-14,2.061376340549352e-14,2.061376340549352e-14
INITIALIZE,0.0,0.0,0.0,0.0
LHSINIT,0.0,0.0,0.0,0.0
LHSX,0.0,1.417541617476509e-14,0.0,0.0
LHSY,0.0,1.417541617476509e-14,0.0,0.0
LHSZ,0.0,1.417541617476509e-14,0.0,0.0
MAKE_SET,0.0,0.0,0.0,0.0
MPI_Allreduce(),0.0,0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0,0.0
MPI_Comm_dup(),0.0,0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0
MPI_Irecv(),0.0,7.557866016602707e-14,0.0,0.0
MPI_Isend(),0.0,7.557866016602707e-14,0.0,0.0
MPI_Reduce(),0.0,0.0,0.0,0.0
MPI_Waitall(),0.0,0.0,0.0,0.0
MPSP,0.0,0.0,0.0,0.0
NINVR,0.0,1.417541617476509e-14,0.0,0.0
PINVR,0.0,1.417541617476509e-14,0.0,0.0
RHS_NORM,0.0,0.0,0.0,0.0
SETUP_MPI,0.0,0.0,0.0,0.0
SET_CLASS,0.0,2.220446049250313e-14,0.0,0.0
SET_CONSTANTS,0.0,0.0,0.0,0.0
TXINVR,0.0,2.835083234953018e-14,0.0,0.0
TZETAR,0.0,1.417541617476509e-14,0.0,0.0
VERIFY,0.0,0.0,0.0,0.0
X_SOLVE,0.0,2.835083234953018e-14,0.0,0.0
Y_SOLVE,0.0,2.835083234953018e-14,0.0,0.0
Z_SOLVE,0.0,2.835083234953018e-14,0.0,0.0
