"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.0065","1:22.248","1","1",".TAU_application"
"100.0","0.712","1:22.248","1","151.5","MG_MPI"
"62.2","2","51,165","51","2091","MG3P"
"45.4","34,495","37,304","461","461","RESID"
"22.0","16,176","18,056","459","459","PSINV"
"13.9","11,395","11,395","1","0","MPI_Finalize()"
"9.1","6,398","7,454","408","408","RPRJ3"
"7.0","5","5,780","1330","23940","COMM3"
"6.7","5,531","5,532","408","408","INTERP"
"3.7","2,995","3,004","7980","7980","READY"
"2.1","1,014","1,733","7980","7980","GIVE3"
"1.4","1,132","1,132","412","0","ZERO3"
"1.3","974","1,036","7980","7980","TAKE3"
"1.1","379","927","2","525543","ZRAN3"
"0.9","719","719","7980","0","MPI_Send()"
"0.4","342","345","4","8","NORM2U3"
"0.4","332","332","1","0","MPI_Init()"
"0.3","237","237","262144","0","VRANLC"
"0.1","62","62","7980","0","MPI_Wait()"
"0.0","32","32","262748","0","RANDLC"
"0.0","8","8","7980","0","MPI_Irecv()"
"0.0","4","4","6","0","MPI_Barrier()"
"0.0","2","2","88","0","MPI_Allreduce()"
"0.0","1","1","1","0","ALLOC_SPACE"
"0.0","0.364","0.364","7","0","MPI_Bcast()"
"0.0","0.224","0.224","0.5","0","CHECK_TIMER_FLAG"
"0.0","0.223","0.223","408","0","COMM3_EX"
"0.0","0.144","0.144","647","0","BUBBLE"
"0.0","0.0915","0.0915","0.5","0","PRINT_RESULTS"
"0.0","0.015","0.028","6","90","POWER"
"0.0","0.026","0.026","1","2","GET_ACTIVE_NPROCS"
"0.0","0.021","0.021","2","0","TIMER_START"
"0.0","0.0105","0.0105","1","0","MPI_Reduce()"
"0.0","0.0075","0.0075","2","0","SETUP"
"0.0","0.0025","0.0025","17","0","TIMER_CLEAR"
"0.0","0.002","0.002","2","0","TIMER_STOP"
"0.0","0.0005","0.0005","1.5","0","TIMER_READ"
"0.0","0","0","1","0","MPI_Comm_rank()"
"0.0","0","0","1","0","MPI_Comm_size()"
