Name,#Call
.TAU,1
MPBT,1
ADI,201
Z_SOLVE,201
Y_SOLVE,201
X_SOLVE,201
Z_SOLVE_CELL,1608
Y_SOLVE_CELL,1608
X_SOLVE_CELL,1608
MPI_Wait(),16884
MPI_Finalize(),1
COPY_FACES,202
SETUP_MPI,1
MPI_Init(),1
COMPUTE_RHS,202
X_BACKSUBSTITUTE,1608
MPI_Isend(),9654
MPI_Waitall(),202
Y_BACKSUBSTITUTE,1608
Z_BACKSUBSTITUTE,1608
INITIALIZE,2
X_UNPACK_SOLVE_INFO,1407
EXACT_SOLUTION,100001
Y_SEND_SOLVE_INFO,1407
Y_UNPACK_SOLVE_INFO,1407
Z_SEND_SOLVE_INFO,1407
ADD,201
X_SEND_SOLVE_INFO,1407
Z_UNPACK_SOLVE_INFO,1407
VERIFY,1
MPI_Irecv(),9654
EXACT_RHS,1
X_SEND_BACKSUB_INFO,1407
MPI_Barrier(),2
MPI_Allreduce(),2
Y_SEND_BACKSUB_INFO,1407
Z_SEND_BACKSUB_INFO,1407
ERROR_NORM,1
LHSABINIT,4824
RHS_NORM,1
LHSINIT,1
X_UNPACK_BACKSUB_INFO,1407
Y_RECEIVE_SOLVE_INFO,1407
Z_RECEIVE_SOLVE_INFO,1407
X_RECEIVE_SOLVE_INFO,1407
MPI_Comm_dup(),2
Z_RECEIVE_BACKSUB_INFO,1407
Y_RECEIVE_BACKSUB_INFO,1407
X_RECEIVE_BACKSUB_INFO,1407
Y_UNPACK_BACKSUB_INFO,1407
Z_UNPACK_BACKSUB_INFO,1407
MPI_Bcast(),6
ALLOC_SPACE,1
MPI_Reduce(),1
SET_CONSTANTS,1
MAKE_SET,1
MPI_Comm_size(),1
COMPUTE_BUFFER_SIZE,1
MPI_Comm_rank(),1
BTIO_CLEANUP,1
SETUP_BTIO,1
SET_CLASS,0.015625
