Name,#Call
.TAU,1
APPLU,1
SSOR,2
RHS,253
MPI_Finalize(),1
EXCHANGE_1,62248
MPI_Recv(),38905
INIT_COMM,1
MPI_Init(),1
EXCHANGE_3,508
JACLD,100001
JACU,100001
BLTS,100001
BUTS,100001
MPI_Wait(),637.25
MPI_Send(),39542.2
SETIV,2
ERHS,1
EXACT,100001
MPI_Allreduce(),10
L2NORM,4
MPI_Irecv(),637.25
READ_INPUT,1
BCAST_INPUTS,1
MPI_Bcast(),10
SETBV,2
ERROR,1
PINTGR,1
ALLOC_SPACE,1
VERIFY,0.125
MPI_Barrier(),2
EXCHANGE_4,1
EXCHANGE_5,1
PROC_GRID,1
EXCHANGE_6,0.5
SETCOEFF,1
MPI_Comm_size(),1
SUBDOMAIN,1
NEIGHBORS,1
ISQRT2,1
MPI_Comm_rank(),1
SET_CLASS,0.125
