Name,#Call
.TAU_application,1
MPSP,1
ADI,401
COPY_FACES,402
COMPUTE_RHS,402
Z_SOLVE,401
X_SOLVE,401
Y_SOLVE,401
LHSZ,1604
LHSY,1604
LHSX,1604
MPI_Finalize(),1
MPI_Waitall(),7620
TXINVR,401
ADD,401
TZETAR,1604
INITIALIZE,2
EXACT_SOLUTION,4.30925E+06
SETUP_MPI,1
MPI_Init(),1
PINVR,1604
NINVR,1604
EXACT_RHS,1
VERIFY,1
ERROR_NORM,1
MPI_Isend(),9630
MPI_Irecv(),9630
LHSINIT,1
ALLOC_SPACE,1
MPI_Barrier(),2
RHS_NORM,1
MPI_Allreduce(),2
MPI_Comm_dup(),2
MPI_Bcast(),4
MPI_Reduce(),1
SET_CONSTANTS,1
MAKE_SET,1
COMPUTE_BUFFER_SIZE,1
MPI_Comm_rank(),1
MPI_Comm_size(),1
SET_CLASS,0.0625
