Name,#Call
.TAU_application,1
MPBT,1
ADI,201
Z_SOLVE,201
Y_SOLVE,201
Z_SOLVE_CELL,804
Y_SOLVE_CELL,804
X_SOLVE,201
MPI_Finalize(),1
X_SOLVE_CELL,804
COPY_FACES,202
COMPUTE_RHS,202
MPI_Wait(),7236
X_BACKSUBSTITUTE,804
SETUP_MPI,1
MPI_Init(),1
Y_BACKSUBSTITUTE,804
Z_BACKSUBSTITUTE,804
MPI_Waitall(),202
INITIALIZE,2
EXACT_SOLUTION,1.08378E+06
X_UNPACK_SOLVE_INFO,603
ADD,201
EXACT_RHS,1
Y_UNPACK_SOLVE_INFO,603
VERIFY,1
X_SEND_SOLVE_INFO,603
Z_UNPACK_SOLVE_INFO,603
Y_SEND_SOLVE_INFO,603
ERROR_NORM,1
Z_SEND_SOLVE_INFO,603
MPI_Isend(),4830
X_SEND_BACKSUB_INFO,603
MPI_Irecv(),4830
Y_SEND_BACKSUB_INFO,603
Z_SEND_BACKSUB_INFO,603
LHSINIT,1
Z_UNPACK_BACKSUB_INFO,603
X_UNPACK_BACKSUB_INFO,603
Y_UNPACK_BACKSUB_INFO,603
LHSABINIT,2412
ALLOC_SPACE,1
MPI_Barrier(),2
MPI_Allreduce(),2
X_RECEIVE_SOLVE_INFO,603
Y_RECEIVE_SOLVE_INFO,603
Z_RECEIVE_SOLVE_INFO,603
Z_RECEIVE_BACKSUB_INFO,603
X_RECEIVE_BACKSUB_INFO,603
Y_RECEIVE_BACKSUB_INFO,603
RHS_NORM,1
MPI_Bcast(),6
MPI_Comm_dup(),2
MPI_Reduce(),1
SET_CONSTANTS,1
MAKE_SET,1
COMPUTE_BUFFER_SIZE,1
MPI_Comm_rank(),1
MPI_Comm_size(),1
BTIO_CLEANUP,1
SETUP_BTIO,1
SET_CLASS,0.0625
