Name,#Call
.TAU_application,1
MPSP,1
ADI,401
Z_SOLVE,401
COPY_FACES,402
Y_SOLVE,401
X_SOLVE,401
MPI_Waitall(),17244
COMPUTE_RHS,402
LHSZ,3208
LHSY,3208
LHSX,3208
ADD,401
TXINVR,401
MPI_Finalize(),1
SETUP_MPI,1
MPI_Init(),1
TZETAR,3208
INITIALIZE,2
EXACT_SOLUTION,1.09651E+06
MPI_Isend(),19254
EXACT_RHS,1
MPI_Irecv(),19254
PINVR,3208
NINVR,3208
VERIFY,1
ERROR_NORM,1
ALLOC_SPACE,1
LHSINIT,1
MPI_Allreduce(),2
MPI_Barrier(),2
RHS_NORM,1
MPI_Comm_dup(),2
MPI_Bcast(),4
MPI_Reduce(),1
SET_CONSTANTS,1
MAKE_SET,1
MPI_Comm_size(),1
COMPUTE_BUFFER_SIZE,1
MPI_Comm_rank(),1
SET_CLASS,0.015625
