Name,#Call
.TAU_application,1
MPBT,1
ADI,201
MPI_Wait(),36180
X_SOLVE,201
MPI_Finalize(),1
Y_SOLVE,201
SETUP_MPI,1
MPI_Init(),1
Z_SOLVE,201
X_SOLVE_CELL,3216
Y_SOLVE_CELL,3216
Z_SOLVE_CELL,3216
COPY_FACES,202
COMPUTE_RHS,202
MPI_Waitall(),202
MPI_Isend(),19302
X_UNPACK_SOLVE_INFO,3015
X_BACKSUBSTITUTE,3216
Z_BACKSUBSTITUTE,3216
Y_BACKSUBSTITUTE,3216
Y_UNPACK_SOLVE_INFO,3015
INITIALIZE,2
MPI_Bcast(),6
X_SEND_SOLVE_INFO,3015
Z_UNPACK_SOLVE_INFO,3015
EXACT_SOLUTION,73361.5
Z_SEND_SOLVE_INFO,3015
Y_SEND_SOLVE_INFO,3015
MPI_Irecv(),19302
ADD,201
EXACT_RHS,1
X_SEND_BACKSUB_INFO,3015
Z_SEND_BACKSUB_INFO,3015
MPI_Barrier(),2
Y_SEND_BACKSUB_INFO,3015
LHSABINIT,9648
VERIFY,1
Y_RECEIVE_SOLVE_INFO,3015
X_RECEIVE_SOLVE_INFO,3015
Z_RECEIVE_SOLVE_INFO,3015
Z_RECEIVE_BACKSUB_INFO,3015
Y_RECEIVE_BACKSUB_INFO,3015
X_RECEIVE_BACKSUB_INFO,3015
X_UNPACK_BACKSUB_INFO,3015
Z_UNPACK_BACKSUB_INFO,3015
MPI_Comm_dup(),2
ERROR_NORM,1
Y_UNPACK_BACKSUB_INFO,3015
LHSINIT,1
MPI_Allreduce(),2
RHS_NORM,1
ALLOC_SPACE,1
MPI_Reduce(),1
SET_CONSTANTS,1
MAKE_SET,1
COMPUTE_BUFFER_SIZE,1
MPI_Comm_size(),1
BTIO_CLEANUP,1
MPI_Comm_rank(),1
SETUP_BTIO,1
SET_CLASS,0.00390625
