Name,#Call
.TAU_application,1
MPBT,1
ADI,201
Z_SOLVE,201
Y_SOLVE,201
Z_SOLVE_CELL,1407
X_SOLVE,201
Y_SOLVE_CELL,1407
X_SOLVE_CELL,1407
COPY_FACES,202
MPI_Wait(),14472
COMPUTE_RHS,202
X_BACKSUBSTITUTE,1407
Y_BACKSUBSTITUTE,1407
Z_BACKSUBSTITUTE,1407
MPI_Finalize(),1
SETUP_MPI,1
MPI_Init(),1
ADD,201
MPI_Waitall(),202
INITIALIZE,2
X_UNPACK_SOLVE_INFO,1206
EXACT_SOLUTION,1.42591E+06
MPI_Isend(),8448
EXACT_RHS,1
Y_UNPACK_SOLVE_INFO,1206
X_SEND_SOLVE_INFO,1206
Z_UNPACK_SOLVE_INFO,1206
Y_SEND_SOLVE_INFO,1206
VERIFY,1
Z_SEND_SOLVE_INFO,1206
MPI_Irecv(),8448
ERROR_NORM,1
Y_SEND_BACKSUB_INFO,1206
X_SEND_BACKSUB_INFO,1206
Z_SEND_BACKSUB_INFO,1206
Y_RECEIVE_SOLVE_INFO,1206
Z_UNPACK_BACKSUB_INFO,1206
Z_RECEIVE_SOLVE_INFO,1206
Y_UNPACK_BACKSUB_INFO,1206
X_UNPACK_BACKSUB_INFO,1206
LHSINIT,1
MPI_Barrier(),2
LHSABINIT,4221
MPI_Allreduce(),2
Z_RECEIVE_BACKSUB_INFO,1206
X_RECEIVE_SOLVE_INFO,1206
ALLOC_SPACE,1
RHS_NORM,1
Y_RECEIVE_BACKSUB_INFO,1206
X_RECEIVE_BACKSUB_INFO,1206
MPI_Bcast(),6
MPI_Comm_dup(),2
MPI_Reduce(),1
SET_CONSTANTS,1
MAKE_SET,1
COMPUTE_BUFFER_SIZE,1
MPI_Comm_size(),1
BTIO_CLEANUP,1
MPI_Comm_rank(),1
SETUP_BTIO,1
SET_CLASS,0.0204082
