Name,#Call
.TAU_application,1
MPBT,1
ADI,201
Z_SOLVE,201
Y_SOLVE,201
Z_SOLVE_CELL,1809
X_SOLVE,201
Y_SOLVE_CELL,1809
X_SOLVE_CELL,1809
MPI_Wait(),19296
COPY_FACES,202
COMPUTE_RHS,202
X_BACKSUBSTITUTE,1809
Y_BACKSUBSTITUTE,1809
Z_BACKSUBSTITUTE,1809
MPI_Finalize(),1
SETUP_MPI,1
MPI_Init(),1
MPI_Waitall(),202
ADD,201
X_UNPACK_SOLVE_INFO,1608
INITIALIZE,2
EXACT_SOLUTION,870173
MPI_Isend(),10860
Y_UNPACK_SOLVE_INFO,1608
EXACT_RHS,1
Z_UNPACK_SOLVE_INFO,1608
X_SEND_SOLVE_INFO,1608
Y_SEND_SOLVE_INFO,1608
VERIFY,1
MPI_Irecv(),10860
Z_SEND_SOLVE_INFO,1608
X_SEND_BACKSUB_INFO,1608
ERROR_NORM,1
Y_SEND_BACKSUB_INFO,1608
Z_SEND_BACKSUB_INFO,1608
Y_RECEIVE_SOLVE_INFO,1608
Z_UNPACK_BACKSUB_INFO,1608
Z_RECEIVE_SOLVE_INFO,1608
Y_UNPACK_BACKSUB_INFO,1608
X_UNPACK_BACKSUB_INFO,1608
MPI_Allreduce(),2
RHS_NORM,1
LHSABINIT,5427
LHSINIT,1
X_RECEIVE_SOLVE_INFO,1608
ALLOC_SPACE,1
MPI_Barrier(),2
Z_RECEIVE_BACKSUB_INFO,1608
Y_RECEIVE_BACKSUB_INFO,1608
X_RECEIVE_BACKSUB_INFO,1608
MPI_Comm_dup(),2
MPI_Bcast(),6
MPI_Reduce(),1
SET_CONSTANTS,1
MAKE_SET,1
COMPUTE_BUFFER_SIZE,1
MPI_Comm_size(),1
BTIO_CLEANUP,1
SETUP_BTIO,1
MPI_Comm_rank(),1
SET_CLASS,0.0123457
