Name,#Call
.TAU_application,1
APPLU,1
SSOR,2
RHS,253
EXCHANGE_1,160640
MPI_Recv(),130520
JACU,1.6064E+06
JACLD,1.6064E+06
BLTS,1.6064E+06
BUTS,1.6064E+06
EXCHANGE_3,508
MPI_Wait(),827.75
MPI_Finalize(),1
MPI_Send(),131348
INIT_COMM,1
MPI_Init(),1
SETIV,2
EXACT,1.67384E+06
ERHS,1
ERROR,1
MPI_Allreduce(),10
L2NORM,4
MPI_Irecv(),827.75
SETBV,2
ALLOC_SPACE,1
READ_INPUT,1
BCAST_INPUTS,1
MPI_Bcast(),10
PINTGR,1
MPI_Barrier(),2
EXCHANGE_4,1
EXCHANGE_5,0.5
VERIFY,0.03125
EXCHANGE_6,0.25
PROC_GRID,1
SETCOEFF,1
NEIGHBORS,1
ISQRT2,1
MPI_Comm_rank(),1
MPI_Comm_size(),1
SUBDOMAIN,1
SET_CLASS,0.03125
