Name,#Call
.TAU_application,1
APPLU,1
SSOR,2
RHS,303
EXCHANGE_1,488824
MPI_Recv(),458272
JACU,3.10098E+06
JACLD,3.10098E+06
BLTS,3.10098E+06
BUTS,3.10098E+06
EXCHANGE_3,608
MPI_Send(),459415
SETIV,2
MPI_Wait(),1142.11
INIT_COMM,1
MPI_Init(),1
EXACT,3.40626E+06
MPI_Finalize(),1
ERHS,1
MPI_Allreduce(),10
L2NORM,4
ERROR,1
MPI_Irecv(),1142.11
SETBV,2
ALLOC_SPACE,1
READ_INPUT,1
BCAST_INPUTS,1
MPI_Bcast(),10
PINTGR,1
MPI_Barrier(),2
EXCHANGE_4,1
EXCHANGE_6,0.125
EXCHANGE_5,0.125
PROC_GRID,1
SETCOEFF,1
VERIFY,0.00390625
NEIGHBORS,1
MPI_Comm_size(),1
SUBDOMAIN,1
MPI_Comm_rank(),1
ISQRT2,1
SET_CLASS,0.00390625
