Name,#Call
.TAU_application,1
MPBT,1
ADI,201
Z_SOLVE,201
Y_SOLVE,201
X_SOLVE,201
MPI_Wait(),33768
Z_SOLVE_CELL,3015
Y_SOLVE_CELL,3015
X_SOLVE_CELL,3015
COPY_FACES,202
MPI_Finalize(),1
SETUP_MPI,1
MPI_Init(),1
COMPUTE_RHS,202
X_BACKSUBSTITUTE,3015
Z_BACKSUBSTITUTE,3015
Y_BACKSUBSTITUTE,3015
MPI_Waitall(),202
X_UNPACK_SOLVE_INFO,2814
MPI_Isend(),18096
ADD,201
INITIALIZE,2
EXACT_SOLUTION,321454
Y_UNPACK_SOLVE_INFO,2814
EXACT_RHS,1
MPI_Barrier(),2
Y_SEND_SOLVE_INFO,2814
Z_UNPACK_SOLVE_INFO,2814
X_SEND_SOLVE_INFO,2814
Z_SEND_SOLVE_INFO,2814
VERIFY,1
MPI_Irecv(),18096
ERROR_NORM,1
X_SEND_BACKSUB_INFO,2814
MPI_Allreduce(),2
Y_SEND_BACKSUB_INFO,2814
Z_SEND_BACKSUB_INFO,2814
Z_UNPACK_BACKSUB_INFO,2814
LHSABINIT,9045
X_UNPACK_BACKSUB_INFO,2814
Y_UNPACK_BACKSUB_INFO,2814
X_RECEIVE_SOLVE_INFO,2814
Y_RECEIVE_SOLVE_INFO,2814
Z_RECEIVE_SOLVE_INFO,2814
Z_RECEIVE_BACKSUB_INFO,2814
Y_RECEIVE_BACKSUB_INFO,2814
X_RECEIVE_BACKSUB_INFO,2814
LHSINIT,1
RHS_NORM,1
MPI_Comm_dup(),2
MPI_Bcast(),6
ALLOC_SPACE,1
MPI_Reduce(),1
SET_CONSTANTS,1
MAKE_SET,1
COMPUTE_BUFFER_SIZE,1
MPI_Comm_size(),1
BTIO_CLEANUP,1
MPI_Comm_rank(),1
SETUP_BTIO,1
SET_CLASS,0.00444444
